annee;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc
2010;0171463Y;La Rochelle;A13;Poitiers;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;20;67;10;ns;ns;ns;ns;ns;ns;36;9.8;1670;nd;nd;;;;La Rochelle_30;disc02_30
2010;0171463Y;La Rochelle;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;27;62;15;ns;ns;ns;ns;ns;ns;36;9.8;1670;nd;nd;;;;La Rochelle_30;disc07_30
2010;0171463Y;La Rochelle;A13;Poitiers;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;98;69;49;90;98;81;98;1950;30400;36;9.8;1670;nd;nd;;;;La Rochelle_30;disc12_30
2010;0171463Y;La Rochelle;A13;Poitiers;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;4;86;2;ns;ns;ns;ns;ns;ns;36;9.8;1670;nd;nd;;;;La Rochelle_30;disc14_30
2010;0211237F;Dijon - Bourgogne;A07;Dijon;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;29;87;5;ns;ns;ns;ns;ns;ns;33;9.7;1710;nd;nd;;;;Dijon - Bourgogne_30;disc02_30
2010;0251215K;Besançon - Franche-Comté;A03;Besançon;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;80;76;22;86;76;84;100;1820;28300;38;9.9;1730;nd;nd;;;;Besançon - Franche-Comté_30;disc01_30
2010;0251215K;Besançon - Franche-Comté;A03;Besançon;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;15;75;4;ns;ns;ns;ns;ns;ns;38;9.9;1730;nd;nd;;;;Besançon - Franche-Comté_30;disc05_30
2010;0251215K;Besançon - Franche-Comté;A03;Besançon;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;45;85;11;89;77;56;88;ns;ns;38;9.9;1730;nd;nd;;;;Besançon - Franche-Comté_30;disc06_30
2010;0251215K;Besançon - Franche-Comté;A03;Besançon;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;9;69;2;ns;ns;ns;ns;ns;ns;38;9.9;1730;nd;nd;;;;Besançon - Franche-Comté_30;disc11_30
2010;0290346U;Brest - Bretagne occidentale;A14;Rennes;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;47;70;13;91;79;67;98;1590;24800;33;9;1670;nd;nd;;;;Brest - Bretagne occidentale_30;disc04_30
2011;0593559Y;Lille 1 - Sciences technologies;A09;Lille;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;96;89;10;92;92;60;98;1730;27000;22;12.8;1750;61;47;62;;;Lille 1 - Sciences technologies_30;disc07_30
2011;0593560Z;Lille 2 - Droit et santé;A09;Lille;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;341;77;75;93;93;84;97;2090;32600;35;12.8;1750;63;53;62;;;Lille 2 - Droit et santé_30;disc01_30
